"","ROI_Name","X_position","Y_position","type","SegmentType","Gene","Expression"
"1","Cx. V, 007, NeuN+",15150,24659,"Cortical layer V - NeuN+","NeuN+","GDI1",1.25712410131276
"2","Cx. V, 009, NeuN+",19978,31299,"Cortical layer V - NeuN+","NeuN+","GDI1",1.5104831748463
"3","Cx. V, 033, NeuN+",14266,22500,"Cortical layer V - NeuN+","NeuN+","GDI1",1.51471130678868
"4","Cx. II/III, 008, NeuN+",17781,32538,"Cortical layer II/III - NeuN+","NeuN+","GDI1",1.34647155247028
"5","Cx. II/III, 032, NeuN+",12988,25768,"Cortical layer II/III - NeuN+","NeuN+","GDI1",1.21353637116829
"6","Cx. II/III, 036, NeuN+",11922,23565,"Cortical layer II/III - NeuN+","NeuN+","GDI1",1.09585428979802
"7","Hipp. CA1, 021, NeuN+",19727,22092,"Hippocampus CA1 - NeuN+","NeuN+","GDI1",1.41248469514468
"8","Hipp. Hilus, 014, NeuN+",29808.294921875,17616.25390625,"Hippocampal hilus - NeuN+","NeuN+","GDI1",1.49019291870401
"9","Hipp. Hilus, 016, NeuN+",26931.96875,17934.740234375,"Hippocampal hilus - NeuN+","NeuN+","GDI1",1.21155313597465
"10","Hipp. Hilus, 015, NeuN+",24204.931640625,16611.033203125,"Hippocampal hilus - NeuN+","NeuN+","GDI1",1.59413423497519
"11","Hipp. CA1, 017, NeuN+",17683,20128,"Hippocampus CA1 - NeuN+","NeuN+","GDI1",1.55367904403406
"12","Hipp. CA1, 019, NeuN+",16563,16483,"Hippocampus CA1 - NeuN+","NeuN+","GDI1",1.4545470061862
"13","Cx. II/III, 032, GFAP+",12988,25768,"Cortical layer II/III - GFAP+","GFAP+","GDI1",-0.108802518807234
"14","Cx. V, 009, IBA1+",19978,31299,"Cortical layer V - IBA1+","IBA1+","GDI1",-1.1029051752732
"15","Cx. V, 033, IBA1+",14266,22500,"Cortical layer V - IBA1+","IBA1+","GDI1",0.203788999786552
"16","Cx. V, 009, Neuropil",19978,31299,"Cortical layer V - Neuropil","Neuropil","GDI1",-0.602035340428748
"17","Hipp. CA1, 017, IBA1+",17683,20128,"Hippocampus CA1 - IBA1+","IBA1+","GDI1",-0.0251514586783484
"18","Hipp. CA1, 019, IBA1+",16563,16483,"Hippocampus CA1 - IBA1+","IBA1+","GDI1",-0.491383617807764
"19","Cx. II/III, 036, IBA1+",11922,23565,"Cortical layer II/III - IBA1+","IBA1+","GDI1",-0.602035340428748
"20","Cx. V, 007, IBA1+",15150,24659,"Cortical layer V - IBA1+","IBA1+","GDI1",-0.491383617807765
"21","Hipp. Hilus, 014, Neuropil",29808.294921875,17616.25390625,"Hippocampal hilus - Neuropil","Neuropil","GDI1",-0.81847422182726
"22","Cx. II/III, 008, Neuropil",17781,32538,"Cortical layer II/III - Neuropil","Neuropil","GDI1",-0.0342470059184008
"23","Cx. V, 033, Neuropil",14266,22500,"Cortical layer V - Neuropil","Neuropil","GDI1",-1.1337980224873
"24","Cx. V, 007, Neuropil",15150,24659,"Cortical layer V - Neuropil","Neuropil","GDI1",-0.178792099213979
"25","Hipp. CA1, 021, Neuropil",19727,22092,"Hippocampus CA1 - Neuropil","Neuropil","GDI1",-0.462075098413524
"26","Cx. II/III, 036, Neuropil",11922,23565,"Cortical layer II/III - Neuropil","Neuropil","GDI1",-0.194308102246972
"27","Cx. II/III, 032, Neuropil",12988,25768,"Cortical layer II/III - Neuropil","Neuropil","GDI1",-1.20926526453015
"28","Cx. II/III, 032, IBA1+",12988,25768,"Cortical layer II/III - IBA1+","IBA1+","GDI1",-0.602035340428748
"29","Hipp. CA1, 017, Neuropil",17683,20128,"Hippocampus CA1 - Neuropil","Neuropil","GDI1",-0.728243289584086
"30","Hipp. CA1, 019, Neuropil",16563,16483,"Hippocampus CA1 - Neuropil","Neuropil","GDI1",-0.751216923486767
"31","Cx. II/III, 008, IBA1+",17781,32538,"Cortical layer II/III - IBA1+","IBA1+","GDI1",-0.354149864520404
"32","Hipp. CA1, 021, IBA1+",19727,22092,"Hippocampus CA1 - IBA1+","IBA1+","GDI1",-0.654793553343532
"33","Hipp. Hilus, 015, Neuropil",24204.931640625,16611.033203125,"Hippocampal hilus - Neuropil","Neuropil","GDI1",-0.840455377187769
"34","Hipp. Hilus, 016, Neuropil",26931.96875,17934.740234375,"Hippocampal hilus - Neuropil","Neuropil","GDI1",-0.924871487400173
"35","Cx. II/III, 008, GFAP+",17781,32538,"Cortical layer II/III - GFAP+","GFAP+","GDI1",-1.18655623540208
"36","Cx. V, 009, GFAP+",19978,31299,"Cortical layer V - GFAP+","GFAP+","GDI1",-1.36719753842981
"37","Cx. II/III, 036, GFAP+",11922,23565,"Cortical layer II/III - GFAP+","GFAP+","GDI1",-0.720324076272666
"38","Cx. V, 007, GFAP+",15150,24659,"Cortical layer V - GFAP+","GFAP+","GDI1",-0.98461643942928
"39","Cx. V, 033, GFAP+",14266,22500,"Cortical layer V - GFAP+","GFAP+","GDI1",-0.289443821834963
"40","Cx. V, 007, NeuN+",15150,24659,"Cortical layer V - NeuN+","NeuN+","APP",1.69082665052225
"41","Cx. V, 009, NeuN+",19978,31299,"Cortical layer V - NeuN+","NeuN+","APP",1.6897764454604
"42","Cx. V, 033, NeuN+",14266,22500,"Cortical layer V - NeuN+","NeuN+","APP",1.40284810087277
"43","Cx. II/III, 008, NeuN+",17781,32538,"Cortical layer II/III - NeuN+","NeuN+","APP",1.25354470471031
"44","Cx. II/III, 032, NeuN+",12988,25768,"Cortical layer II/III - NeuN+","NeuN+","APP",1.40724004251245
"45","Cx. II/III, 036, NeuN+",11922,23565,"Cortical layer II/III - NeuN+","NeuN+","APP",1.24173555585508
"46","Hipp. CA1, 021, NeuN+",19727,22092,"Hippocampus CA1 - NeuN+","NeuN+","APP",1.6246718422001
"47","Hipp. Hilus, 014, NeuN+",29808.294921875,17616.25390625,"Hippocampal hilus - NeuN+","NeuN+","APP",1.34996441849651
"48","Hipp. Hilus, 016, NeuN+",26931.96875,17934.740234375,"Hippocampal hilus - NeuN+","NeuN+","APP",1.2190099965564
"49","Hipp. Hilus, 015, NeuN+",24204.931640625,16611.033203125,"Hippocampal hilus - NeuN+","NeuN+","APP",1.15447050770394
"50","Hipp. CA1, 017, NeuN+",17683,20128,"Hippocampus CA1 - NeuN+","NeuN+","APP",1.51988201666974
"51","Hipp. CA1, 019, NeuN+",16563,16483,"Hippocampus CA1 - NeuN+","NeuN+","APP",1.54345664284038
"52","Cx. II/III, 032, GFAP+",12988,25768,"Cortical layer II/III - GFAP+","GFAP+","APP",-0.0844818796152483
"53","Cx. V, 009, IBA1+",19978,31299,"Cortical layer V - IBA1+","IBA1+","APP",-0.177769828366981
"54","Cx. V, 033, IBA1+",14266,22500,"Cortical layer V - IBA1+","IBA1+","APP",-0.536104596345993
"55","Cx. V, 009, Neuropil",19978,31299,"Cortical layer V - Neuropil","Neuropil","APP",-0.243740909676265
"56","Hipp. CA1, 017, IBA1+",17683,20128,"Hippocampus CA1 - IBA1+","IBA1+","APP",-0.473468014751685
"57","Hipp. CA1, 019, IBA1+",16563,16483,"Hippocampus CA1 - IBA1+","IBA1+","APP",-0.726014993564436
"58","Cx. II/III, 036, IBA1+",11922,23565,"Cortical layer II/III - IBA1+","IBA1+","APP",-0.750378516660218
"59","Cx. V, 007, IBA1+",15150,24659,"Cortical layer V - IBA1+","IBA1+","APP",-0.331005957827407
"60","Hipp. Hilus, 014, Neuropil",29808.294921875,17616.25390625,"Hippocampal hilus - Neuropil","Neuropil","APP",-0.78843248820505
"61","Cx. II/III, 008, Neuropil",17781,32538,"Cortical layer II/III - Neuropil","Neuropil","APP",-1.03851015308588
"62","Cx. V, 033, Neuropil",14266,22500,"Cortical layer V - Neuropil","Neuropil","APP",-0.400361618999422
"63","Cx. V, 007, Neuropil",15150,24659,"Cortical layer V - Neuropil","Neuropil","APP",-0.610377131842084
"64","Hipp. CA1, 021, Neuropil",19727,22092,"Hippocampus CA1 - Neuropil","Neuropil","APP",-0.780379660699004
"65","Cx. II/III, 036, Neuropil",11922,23565,"Cortical layer II/III - Neuropil","Neuropil","APP",-0.538627244370919
"66","Cx. II/III, 032, Neuropil",12988,25768,"Cortical layer II/III - Neuropil","Neuropil","APP",-0.609210992098256
"67","Cx. II/III, 032, IBA1+",12988,25768,"Cortical layer II/III - IBA1+","IBA1+","APP",-0.632727044812702
"68","Hipp. CA1, 017, Neuropil",17683,20128,"Hippocampus CA1 - Neuropil","Neuropil","APP",-0.647344905553288
"69","Hipp. CA1, 019, Neuropil",16563,16483,"Hippocampus CA1 - Neuropil","Neuropil","APP",-0.661194179401645
"70","Cx. II/III, 008, IBA1+",17781,32538,"Cortical layer II/III - IBA1+","IBA1+","APP",-0.879251123024862
"71","Hipp. CA1, 021, IBA1+",19727,22092,"Hippocampus CA1 - IBA1+","IBA1+","APP",-0.807439259634916
"72","Hipp. Hilus, 015, Neuropil",24204.931640625,16611.033203125,"Hippocampal hilus - Neuropil","Neuropil","APP",-1.21703138559571
"73","Hipp. Hilus, 016, Neuropil",26931.96875,17934.740234375,"Hippocampal hilus - Neuropil","Neuropil","APP",-1.19543372699741
"74","Cx. II/III, 008, GFAP+",17781,32538,"Cortical layer II/III - GFAP+","GFAP+","APP",-0.791986074873721
"75","Cx. V, 009, GFAP+",19978,31299,"Cortical layer V - GFAP+","GFAP+","APP",0.00278316853589484
"76","Cx. II/III, 036, GFAP+",11922,23565,"Cortical layer II/III - GFAP+","GFAP+","APP",-0.524498182171277
"77","Cx. V, 007, GFAP+",15150,24659,"Cortical layer V - GFAP+","GFAP+","APP",-0.632727044812703
"78","Cx. V, 033, GFAP+",14266,22500,"Cortical layer V - GFAP+","GFAP+","APP",-1.02171317994914
"79","Cx. V, 007, NeuN+",15150,24659,"Cortical layer V - NeuN+","NeuN+","DKK3",1.16826141339179
"80","Cx. V, 009, NeuN+",19978,31299,"Cortical layer V - NeuN+","NeuN+","DKK3",1.45779951403806
"81","Cx. V, 033, NeuN+",14266,22500,"Cortical layer V - NeuN+","NeuN+","DKK3",1.08155914563086
"82","Cx. II/III, 008, NeuN+",17781,32538,"Cortical layer II/III - NeuN+","NeuN+","DKK3",1.16564766648199
"83","Cx. II/III, 032, NeuN+",12988,25768,"Cortical layer II/III - NeuN+","NeuN+","DKK3",1.44177762481729
"84","Cx. II/III, 036, NeuN+",11922,23565,"Cortical layer II/III - NeuN+","NeuN+","DKK3",0.979857019792228
"85","Hipp. CA1, 021, NeuN+",19727,22092,"Hippocampus CA1 - NeuN+","NeuN+","DKK3",1.70990724505985
"86","Hipp. Hilus, 014, NeuN+",29808.294921875,17616.25390625,"Hippocampal hilus - NeuN+","NeuN+","DKK3",1.7581126810781
"87","Hipp. Hilus, 016, NeuN+",26931.96875,17934.740234375,"Hippocampal hilus - NeuN+","NeuN+","DKK3",1.87888095983214
"88","Hipp. Hilus, 015, NeuN+",24204.931640625,16611.033203125,"Hippocampal hilus - NeuN+","NeuN+","DKK3",1.21265202087826
"89","Hipp. CA1, 017, NeuN+",17683,20128,"Hippocampus CA1 - NeuN+","NeuN+","DKK3",1.4784044113884
"90","Hipp. CA1, 019, NeuN+",16563,16483,"Hippocampus CA1 - NeuN+","NeuN+","DKK3",1.46145373931739
"91","Cx. II/III, 032, GFAP+",12988,25768,"Cortical layer II/III - GFAP+","GFAP+","DKK3",-1.01727495677165
"92","Cx. V, 009, IBA1+",19978,31299,"Cortical layer V - IBA1+","IBA1+","DKK3",-1.28118152080285
"93","Cx. V, 033, IBA1+",14266,22500,"Cortical layer V - IBA1+","IBA1+","DKK3",-0.937632508884685
"94","Cx. V, 009, Neuropil",19978,31299,"Cortical layer V - Neuropil","Neuropil","DKK3",-0.843022587834477
"95","Hipp. CA1, 017, IBA1+",17683,20128,"Hippocampus CA1 - IBA1+","IBA1+","DKK3",-0.587023677092558
"96","Hipp. CA1, 019, IBA1+",16563,16483,"Hippocampus CA1 - IBA1+","IBA1+","DKK3",-0.876483012405912
"97","Cx. II/III, 036, IBA1+",11922,23565,"Cortical layer II/III - IBA1+","IBA1+","DKK3",-1.01727495677165
"98","Cx. V, 007, IBA1+",15150,24659,"Cortical layer V - IBA1+","IBA1+","DKK3",-0.735987493267024
"99","Hipp. Hilus, 014, Neuropil",29808.294921875,17616.25390625,"Hippocampal hilus - Neuropil","Neuropil","DKK3",-0.811344572474935
"100","Cx. II/III, 008, Neuropil",17781,32538,"Cortical layer II/III - Neuropil","Neuropil","DKK3",-0.387728701505373
"101","Cx. V, 033, Neuropil",14266,22500,"Cortical layer V - Neuropil","Neuropil","DKK3",-1.04812270834509
"102","Cx. V, 007, Neuropil",15150,24659,"Cortical layer V - Neuropil","Neuropil","DKK3",-0.587023677092558
"103","Hipp. CA1, 021, Neuropil",19727,22092,"Hippocampus CA1 - Neuropil","Neuropil","DKK3",-0.442438389886301
"104","Cx. II/III, 036, Neuropil",11922,23565,"Cortical layer II/III - Neuropil","Neuropil","DKK3",-0.492026831276685
"105","Cx. II/III, 032, Neuropil",12988,25768,"Cortical layer II/III - Neuropil","Neuropil","DKK3",-0.679586970411424
"106","Cx. II/III, 032, IBA1+",12988,25768,"Cortical layer II/III - IBA1+","IBA1+","DKK3",-0.684879104125886
"107","Hipp. CA1, 017, Neuropil",17683,20128,"Hippocampus CA1 - Neuropil","Neuropil","DKK3",-0.788668692710219
"108","Hipp. CA1, 019, Neuropil",16563,16483,"Hippocampus CA1 - Neuropil","Neuropil","DKK3",-0.505760780534329
"109","Cx. II/III, 008, IBA1+",17781,32538,"Cortical layer II/III - IBA1+","IBA1+","DKK3",-0.587023677092559
"110","Hipp. CA1, 021, IBA1+",19727,22092,"Hippocampus CA1 - IBA1+","IBA1+","DKK3",0.0780671883677155
"111","Hipp. Hilus, 015, Neuropil",24204.931640625,16611.033203125,"Hippocampal hilus - Neuropil","Neuropil","DKK3",-0.889176333896572
"112","Hipp. Hilus, 016, Neuropil",26931.96875,17934.740234375,"Hippocampal hilus - Neuropil","Neuropil","DKK3",-0.901588990369107
"113","Cx. II/III, 008, GFAP+",17781,32538,"Cortical layer II/III - GFAP+","GFAP+","DKK3",-0.0945108489999324
"114","Cx. V, 009, GFAP+",19978,31299,"Cortical layer V - GFAP+","GFAP+","DKK3",-0.152550437460268
"115","Cx. II/III, 036, GFAP+",11922,23565,"Cortical layer II/III - GFAP+","GFAP+","DKK3",0.0425225781737161
"116","Cx. V, 007, GFAP+",15150,24659,"Cortical layer V - GFAP+","GFAP+","DKK3",-0.243474665174397
"117","Cx. V, 033, GFAP+",14266,22500,"Cortical layer V - GFAP+","GFAP+","DKK3",-0.32311711306136
"118","Cx. V, 007, NeuN+",15150,24659,"Cortical layer V - NeuN+","NeuN+","CADM3",1.56083066772721
"119","Cx. V, 009, NeuN+",19978,31299,"Cortical layer V - NeuN+","NeuN+","CADM3",1.2985949376455
"120","Cx. V, 033, NeuN+",14266,22500,"Cortical layer V - NeuN+","NeuN+","CADM3",1.26567396765819
"121","Cx. II/III, 008, NeuN+",17781,32538,"Cortical layer II/III - NeuN+","NeuN+","CADM3",1.13045189315459
"122","Cx. II/III, 032, NeuN+",12988,25768,"Cortical layer II/III - NeuN+","NeuN+","CADM3",1.15835185464524
"123","Cx. II/III, 036, NeuN+",11922,23565,"Cortical layer II/III - NeuN+","NeuN+","CADM3",1.28502951396218
"124","Hipp. CA1, 021, NeuN+",19727,22092,"Hippocampus CA1 - NeuN+","NeuN+","CADM3",1.2985949376455
"125","Hipp. Hilus, 014, NeuN+",29808.294921875,17616.25390625,"Hippocampal hilus - NeuN+","NeuN+","CADM3",1.54777245906787
"126","Hipp. Hilus, 016, NeuN+",26931.96875,17934.740234375,"Hippocampal hilus - NeuN+","NeuN+","CADM3",1.52866552171631
"127","Hipp. Hilus, 015, NeuN+",24204.931640625,16611.033203125,"Hippocampal hilus - NeuN+","NeuN+","CADM3",1.43549188042245
"128","Hipp. CA1, 017, NeuN+",17683,20128,"Hippocampus CA1 - NeuN+","NeuN+","CADM3",1.54073122350266
"129","Hipp. CA1, 019, NeuN+",16563,16483,"Hippocampus CA1 - NeuN+","NeuN+","CADM3",1.59111038688711
"130","Cx. II/III, 032, GFAP+",12988,25768,"Cortical layer II/III - GFAP+","GFAP+","CADM3",-1.75401710937814
"131","Cx. V, 009, IBA1+",19978,31299,"Cortical layer V - IBA1+","IBA1+","CADM3",-1.18976495784353
"132","Cx. V, 033, IBA1+",14266,22500,"Cortical layer V - IBA1+","IBA1+","CADM3",-0.921875049988618
"133","Cx. V, 009, Neuropil",19978,31299,"Cortical layer V - Neuropil","Neuropil","CADM3",-0.539562676707113
"134","Hipp. CA1, 017, IBA1+",17683,20128,"Hippocampus CA1 - IBA1+","IBA1+","CADM3",-1.48612720152323
"135","Hipp. CA1, 019, IBA1+",16563,16483,"Hippocampus CA1 - IBA1+","IBA1+","CADM3",-1.18976495784353
"136","Cx. II/III, 036, IBA1+",11922,23565,"Cortical layer II/III - IBA1+","IBA1+","CADM3",-0.780473309346643
"137","Cx. V, 007, IBA1+",15150,24659,"Cortical layer V - IBA1+","IBA1+","CADM3",-0.33900970045647
"138","Hipp. Hilus, 014, Neuropil",29808.294921875,17616.25390625,"Hippocampal hilus - Neuropil","Neuropil","CADM3",-0.373524153734221
"139","Cx. II/III, 008, Neuropil",17781,32538,"Cortical layer II/III - Neuropil","Neuropil","CADM3",-0.0897329905990918
"140","Cx. V, 033, Neuropil",14266,22500,"Cortical layer V - Neuropil","Neuropil","CADM3",-0.386095234278785
"141","Cx. V, 007, Neuropil",15150,24659,"Cortical layer V - Neuropil","Neuropil","CADM3",-0.56159131718581
"142","Hipp. CA1, 021, Neuropil",19727,22092,"Hippocampus CA1 - Neuropil","Neuropil","CADM3",-0.368017138470334
"143","Cx. II/III, 036, Neuropil",11922,23565,"Cortical layer II/III - Neuropil","Neuropil","CADM3",-0.209032350568717
"144","Cx. II/III, 032, Neuropil",12988,25768,"Cortical layer II/III - Neuropil","Neuropil","CADM3",-0.296043902215361
"145","Cx. II/III, 032, IBA1+",12988,25768,"Cortical layer II/III - IBA1+","IBA1+","CADM3",-0.33900970045647
"146","Hipp. CA1, 017, Neuropil",17683,20128,"Hippocampus CA1 - Neuropil","Neuropil","CADM3",-0.233557592249893
"147","Hipp. CA1, 019, Neuropil",16563,16483,"Hippocampus CA1 - Neuropil","Neuropil","CADM3",-0.108639321847359
"148","Cx. II/III, 008, IBA1+",17781,32538,"Cortical layer II/III - IBA1+","IBA1+","CADM3",-0.435103149972868
"149","Hipp. CA1, 021, IBA1+",19727,22092,"Hippocampus CA1 - IBA1+","IBA1+","CADM3",-0.330643623238622
"150","Hipp. Hilus, 015, Neuropil",24204.931640625,16611.033203125,"Hippocampal hilus - Neuropil","Neuropil","CADM3",-0.692508037273597
"151","Hipp. Hilus, 016, Neuropil",26931.96875,17934.740234375,"Hippocampal hilus - Neuropil","Neuropil","CADM3",-0.532616501751056
"152","Cx. II/III, 008, GFAP+",17781,32538,"Cortical layer II/III - GFAP+","GFAP+","CADM3",-0.921875049988618
"153","Cx. V, 009, GFAP+",19978,31299,"Cortical layer V - GFAP+","GFAP+","CADM3",-0.517930970344249
"154","Cx. II/III, 036, GFAP+",11922,23565,"Cortical layer II/III - GFAP+","GFAP+","CADM3",-0.653985142133702
"155","Cx. V, 007, GFAP+",15150,24659,"Cortical layer V - GFAP+","GFAP+","CADM3",-0.736812962505083
"156","Cx. V, 033, GFAP+",14266,22500,"Cortical layer V - GFAP+","GFAP+","CADM3",-0.653985142133702
"157","Cx. V, 007, NeuN+",15150,24659,"Cortical layer V - NeuN+","NeuN+","YWHAG",1.49253163623193
"158","Cx. V, 009, NeuN+",19978,31299,"Cortical layer V - NeuN+","NeuN+","YWHAG",1.36651204538402
"159","Cx. V, 033, NeuN+",14266,22500,"Cortical layer V - NeuN+","NeuN+","YWHAG",1.35625934333404
"160","Cx. II/III, 008, NeuN+",17781,32538,"Cortical layer II/III - NeuN+","NeuN+","YWHAG",1.31262108816319
"161","Cx. II/III, 032, NeuN+",12988,25768,"Cortical layer II/III - NeuN+","NeuN+","YWHAG",1.27024780151362
"162","Cx. II/III, 036, NeuN+",11922,23565,"Cortical layer II/III - NeuN+","NeuN+","YWHAG",1.04261969878666
"163","Hipp. CA1, 021, NeuN+",19727,22092,"Hippocampus CA1 - NeuN+","NeuN+","YWHAG",1.35837577438263
"164","Hipp. Hilus, 014, NeuN+",29808.294921875,17616.25390625,"Hippocampal hilus - NeuN+","NeuN+","YWHAG",1.81197414715791
"165","Hipp. Hilus, 016, NeuN+",26931.96875,17934.740234375,"Hippocampal hilus - NeuN+","NeuN+","YWHAG",1.62032946937322
"166","Hipp. Hilus, 015, NeuN+",24204.931640625,16611.033203125,"Hippocampal hilus - NeuN+","NeuN+","YWHAG",1.69095951799234
"167","Hipp. CA1, 017, NeuN+",17683,20128,"Hippocampus CA1 - NeuN+","NeuN+","YWHAG",1.33922248737115
"168","Hipp. CA1, 019, NeuN+",16563,16483,"Hippocampus CA1 - NeuN+","NeuN+","YWHAG",1.35201774567462
"169","Cx. II/III, 032, GFAP+",12988,25768,"Cortical layer II/III - GFAP+","GFAP+","YWHAG",-0.722967935041407
"170","Cx. V, 009, IBA1+",19978,31299,"Cortical layer V - IBA1+","IBA1+","YWHAG",-0.370135472916371
"171","Cx. V, 033, IBA1+",14266,22500,"Cortical layer V - IBA1+","IBA1+","YWHAG",-0.105993247002187
"172","Cx. V, 009, Neuropil",19978,31299,"Cortical layer V - Neuropil","Neuropil","YWHAG",-0.378920794559549
"173","Hipp. CA1, 017, IBA1+",17683,20128,"Hippocampus CA1 - IBA1+","IBA1+","YWHAG",-0.779040288059723
"174","Hipp. CA1, 019, IBA1+",16563,16483,"Hippocampus CA1 - IBA1+","IBA1+","YWHAG",-0.596171608773139
"175","Cx. II/III, 036, IBA1+",11922,23565,"Cortical layer II/III - IBA1+","IBA1+","YWHAG",-1.02625975701032
"176","Cx. V, 007, IBA1+",15150,24659,"Cortical layer V - IBA1+","IBA1+","YWHAG",-0.335486379322468
"177","Hipp. Hilus, 014, Neuropil",29808.294921875,17616.25390625,"Hippocampal hilus - Neuropil","Neuropil","YWHAG",-0.753407279189163
"178","Cx. II/III, 008, Neuropil",17781,32538,"Cortical layer II/III - Neuropil","Neuropil","YWHAG",-0.433724682037952
"179","Cx. V, 033, Neuropil",14266,22500,"Cortical layer V - Neuropil","Neuropil","YWHAG",-0.591108156679443
"180","Cx. V, 007, Neuropil",15150,24659,"Cortical layer V - Neuropil","Neuropil","YWHAG",-0.576016814888639
"181","Hipp. CA1, 021, Neuropil",19727,22092,"Hippocampus CA1 - Neuropil","Neuropil","YWHAG",-0.59897237208063
"182","Cx. II/III, 036, Neuropil",11922,23565,"Cortical layer II/III - Neuropil","Neuropil","YWHAG",-0.496390714856642
"183","Cx. II/III, 032, Neuropil",12988,25768,"Cortical layer II/III - Neuropil","Neuropil","YWHAG",-0.239364507655581
"184","Cx. II/III, 032, IBA1+",12988,25768,"Cortical layer II/III - IBA1+","IBA1+","YWHAG",-0.897700343326601
"185","Hipp. CA1, 017, Neuropil",17683,20128,"Hippocampus CA1 - Neuropil","Neuropil","YWHAG",-0.492416950345629
"186","Hipp. CA1, 019, Neuropil",16563,16483,"Hippocampus CA1 - Neuropil","Neuropil","YWHAG",-0.434993147577866
"187","Cx. II/III, 008, IBA1+",17781,32538,"Cortical layer II/III - IBA1+","IBA1+","YWHAG",-0.225309535425088
"188","Hipp. CA1, 021, IBA1+",19727,22092,"Hippocampus CA1 - IBA1+","IBA1+","YWHAG",-0.319990572740049
"189","Hipp. Hilus, 015, Neuropil",24204.931640625,16611.033203125,"Hippocampal hilus - Neuropil","Neuropil","YWHAG",-1.01571134795169
"190","Hipp. Hilus, 016, Neuropil",26931.96875,17934.740234375,"Hippocampal hilus - Neuropil","Neuropil","YWHAG",-1.13406128110836
"191","Cx. II/III, 008, GFAP+",17781,32538,"Cortical layer II/III - GFAP+","GFAP+","YWHAG",-0.960640501806393
"192","Cx. V, 009, GFAP+",19978,31299,"Cortical layer V - GFAP+","GFAP+","YWHAG",-1.30468764228825
"193","Cx. II/III, 036, GFAP+",11922,23565,"Cortical layer II/III - GFAP+","GFAP+","YWHAG",-1.09479636365569
"194","Cx. V, 007, GFAP+",15150,24659,"Cortical layer V - GFAP+","GFAP+","YWHAG",-0.877278590775206
"195","Cx. V, 033, GFAP+",14266,22500,"Cortical layer V - GFAP+","GFAP+","YWHAG",-0.252124468291283
"196","Cx. V, 007, NeuN+",15150,24659,"Cortical layer V - NeuN+","NeuN+","UCHL1",1.24897267368487
"197","Cx. V, 009, NeuN+",19978,31299,"Cortical layer V - NeuN+","NeuN+","UCHL1",1.34684938998154
"198","Cx. V, 033, NeuN+",14266,22500,"Cortical layer V - NeuN+","NeuN+","UCHL1",1.40345984333271
"199","Cx. II/III, 008, NeuN+",17781,32538,"Cortical layer II/III - NeuN+","NeuN+","UCHL1",1.30068708170413
"200","Cx. II/III, 032, NeuN+",12988,25768,"Cortical layer II/III - NeuN+","NeuN+","UCHL1",1.09944055648225
"201","Cx. II/III, 036, NeuN+",11922,23565,"Cortical layer II/III - NeuN+","NeuN+","UCHL1",0.92670300134394
"202","Hipp. CA1, 021, NeuN+",19727,22092,"Hippocampus CA1 - NeuN+","NeuN+","UCHL1",1.61408089595709
"203","Hipp. Hilus, 014, NeuN+",29808.294921875,17616.25390625,"Hippocampal hilus - NeuN+","NeuN+","UCHL1",1.68737148678839
"204","Hipp. Hilus, 016, NeuN+",26931.96875,17934.740234375,"Hippocampal hilus - NeuN+","NeuN+","UCHL1",1.70571202320219
"205","Hipp. Hilus, 015, NeuN+",24204.931640625,16611.033203125,"Hippocampal hilus - NeuN+","NeuN+","UCHL1",1.59112603519429
"206","Hipp. CA1, 017, NeuN+",17683,20128,"Hippocampus CA1 - NeuN+","NeuN+","UCHL1",1.46247879804936
